Name,Caliber,status,Height,position,weight,rank,homeTown,Speed(base),Strength(base),Agility(base),Acceleration(base),Jumping(base),Awareness(base),Stamina(base),Injury(base),"Break Tackle(rushing)",Trucking(rushing),Elusiveness(rushing),"Stiff Arm(rushing)","Spin Move(rushing)","Juke Move(rushing)",Carrying(rushing),"Ball Carrier Vision(rushing)","Pass Block(blocking)","Run Block(blocking)","Impact Blocking(blocking)",Catching(receiving),"Spectacular Catch(receiving)","Catch In Traffic(receiving)","Route Running(receiving)",Release(receiving),Tackle(tackling),"Hit Power(tackling)",Pursuit(tackling),"Play Recognition(tackling)","Power Moves(blockingShedding)","Finesse Moves(blockingShedding)","Block Shedding(blockingShedding)","Man Coverage(coverage)","Zone Coverage(coverage)",Press(coverage),"Throw Power(passing)","Throw Accuracy(passing)","Kick Power(kicking)","Kick Accuracy(kicking)","School 1","School 2","School 3","School 4","School 5","School 6","School 7","School 8","School 9","School 10"
"Larry Stephens",4,"10 Schools Remaining","6'2""",ATH,"310 lbs",87,"Oak Hills",D,C,C,B,C,,C,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,C,C,C,D,C,C,B,D,D,D,D,D,,,Oregon,USC,Michigan,Clemson,Louisville,Texas,"Penn State","Southern Miss","Texas Tech","Texas A&M"
"Ryan Taylor",4,"10 Schools Remaining","6'2""",ATH,"240 lbs",88,Mableton,D,C,D,C,D,,D,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,B,C,B,A,C,C,C,C,C,D,D,D,,,Clemson,Miami,"Florida State",Alabama,Rutgers,Florida,"NC State",Purdue,Duke,
"Michael Overstreet",4,"10 Schools Remaining","6'4""",DE,"265 lbs",89,"Cathedral City",B,C,D,B,D,,C,C,,,,,,,,,,,,,,,,,B,C,C,B,C,D,B,,,,,,,,Cal,"Arizona State",Oregon,USC,Hawai'i,BYU,"Boise State",,,
"Evan Wright",4,"10 Schools Remaining","6'1""",DE,"234 lbs",90,Midland,B,B,D,B,D,,B,C,,,,,,,,,,,,,,,,,B,B,C,C,B,B,D,,,,,,,,Baylor,TCU,Nebraska,"Boise State",Arkansas,BYU,"Kansas State",Missouri,,
"Pierre Wilson",4,"10 Schools Remaining","6'5""",G,"267 lbs",91,"Leisure City",D,B,D,B,D,,C,B,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,Alabama,Georgia,USC,Nevada,Texas,Navy,"Southern Miss","South Carolina",UCF,Buffalo
"Robert Griffin",4,"10 Schools Remaining","6'0""",G,"294 lbs",92,"Maple Heights",D,C,D,B,D,,D,B,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,Toledo,"Ohio State",Wisconsin,"Boston College","Virginia Tech",,,,,
"Maurice Jackson",4,"10 Schools Remaining","5'11""",FS,"175 lbs",93,"Pauls Valley",B,C,B,B,B,,B,B,,,,,,,,,,,,,,,,,A,C,C,C,D,D,D,D,C,C,,,,,USC,"Virginia Tech",Alabama,"Arizona State","Notre Dame",Stanford,Oklahoma,"Kansas State","Arkansas State",
"William Stevens",4,"10 Schools Remaining","6'0""",HB,"200 lbs",94,Brazil,B,D,C,C,B,,B,B,C,D,B,C,C,C,C,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Illinois,Auburn,Purdue,,,,,,,
"Melvin Stegall",4,"10 Schools Remaining","5'11""",HB,"198 lbs",95,"Morton Grove",B,C,A,B,D,,B,B,C,D,C,C,B,B,D,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Illinois,Rutgers,"Notre Dame",Missouri,Wisconsin,"Ohio State",,,,
"Jeff James",4,"10 Schools Remaining","6'6""",T,"272 lbs",96,Clairton,D,C,D,A,D,,D,B,,,,,,,,,B,C,B,,,,,,,,,,,,,,,,,,,,Georgia,"Ohio State",Clemson,Oklahoma,"Notre Dame","Mississippi State",Navy,"North Carolina",Ohio,"Northern Illinois"
"Michael Carter",4,"10 Schools Remaining","6'5""",DE,"245 lbs",97,"Cooper City",C,C,D,A,D,,C,C,,,,,,,,,,,,,,,,,B,C,B,C,C,C,C,,,,,,,,Alabama,"Florida State",Auburn,USC,Louisville,"North Carolina",Purdue,Buffalo,"Northern Illinois",
"Atari Jackson",4,"10 Schools Remaining","6'3""",DT,"265 lbs",98,Mentor,D,C,D,C,D,,D,C,,,,,,,,,,,,,,,,,C,C,B,A,A,C,B,,,,,,,,Michigan,USC,Alabama,"Notre Dame",Northwestern,Virginia,"Ohio State",Nebraska,Indiana,Buffalo
"Stephen Wheeler",4,"8 Schools Remaining","5'10""",WR,"190 lbs",99,Vacaville,89,D,C,83,C,,B,C,68,D,D,D,D,53,90,C,,,,D,C,74,79,C,,,,,,,,,,,,,,,Maryland,Stanford,Cal,Houston,BYU,Oklahoma,USC,Utah,"Boise State",
"David Wright",4,"10 Schools Remaining","5'10""",WR,"181 lbs",100,"West Odessa",A,D,D,B,C,,B,B,D,D,D,D,D,D,C,C,,,,B,D,D,D,D,,,,,,,,,,,,,,,Arkansas,BYU,Navy,Nebraska,Oklahoma,Utah,"Boise State","Boston College","Oklahoma State",Wyoming
"Darrick Frederick",4,"10 Schools Remaining","6'2""",CB,"163 lbs",101,Guymon,B,D,C,B,B,,B,C,,,,,,,,,,,,,,,,,D,D,C,D,D,D,D,A,A,B,,,,,"Notre Dame","Kansas State",USC,Texas,Oklahoma,,,,,
"Ben Johnson",4,"10 Schools Remaining","6'2""",CB,"187 lbs",102,"Elmwood Park",A,D,A,B,B,,A,B,,,,,,,,,,,,,,,,,D,D,C,B,D,D,D,C,B,C,,,,,Cal,Illinois,"Ohio State",Toledo,"Notre Dame",Oregon,USC,"Northern Illinois",,
"Shaun Wilkinson",4,"5 Schools Remaining","6'1""",DT,"307 lbs",103,Seneca,D,B,D,C,D,,D,C,,,,,,,,,,,,,,,,,C,D,C,C,B,D,B,,,,,,,,Clemson,"Boston College",Washington,"Texas Tech",Wyoming,,,,,
"Dan Castillo",4,"10 Schools Remaining","6'5""",ATH,"270 lbs",104,Dewey-Humboldt,C,B,D,C,D,,C,B,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,B,D,D,D,D,D,D,D,D,D,D,D,,,TCU,Illinois,"Texas A&M",Utah,Stanford,USC,Indiana,,,
"Kris Ball",4,"10 Schools Remaining","6'3""",DT,"254 lbs",105,"Fort Belvoir",D,79,70,72,71,,62,B,,,,,,,,,,,,,,,,,B,73,C,C,C,71,72,,,,,,,,"Penn State","Boston College",Auburn,Louisville,"Virginia Tech",Wyoming,"Texas Tech",Washington,"North Carolina","Ohio State"
"Lawrence Riggs",4,"10 Schools Remaining","6'7""",TE,"238 lbs",106,"Coral Gables",B,B,B,B,B,,B,A,D,B,D,D,D,D,D,C,D,C,C,C,D,D,D,C,,,,,,,,,,,,,,,Alabama,Georgia,Baylor,USC,Miami,"South Carolina","North Carolina",FIU,Clemson,Louisville
"Rod Phillips",4,"10 Schools Remaining","6'5""",T,"304 lbs",107,"Junction City",C,B,D,B,C,,D,C,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,"Kansas State","Mississippi State",Oklahoma,Cal,TCU,"North Carolina",Ohio,"South Carolina","Oklahoma State","Northern Illinois"
"Brian Cooley",4,"Soft Commit","6'2""",WR,"177 lbs",108,Columbia,A,D,C,C,B,,A,B,D,D,D,D,D,D,C,C,,,,C,C,D,C,D,,,,,,,,,,,,,,,Auburn,Florida,Georgia,Texas,Miami,Tennessee,,,,
"Reggie Browne",4,"10 Schools Remaining","6'4""",C,"275 lbs",109,"Hybla Valley",D,B,B,C,D,,D,C,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,"West Virginia",Rutgers,Virginia,Georgia,"Mississippi State","Kansas State",Michigan,Indiana,Missouri,
"Martin Woods",4,"10 Schools Remaining","6'1""",HB,"212 lbs",110,"St. Rose",B,D,C,B,D,,B,C,C,D,B,C,C,B,C,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"Oklahoma State",Texas,Auburn,,,,,,,
"Mike Hughes",4,"10 Schools Remaining","5'8""",HB,"168 lbs",111,Independence,C,D,C,C,B,,C,B,B,C,C,D,B,B,C,C,D,D,D,C,C,C,D,C,,,,,,,,,,,,,,,Auburn,Missouri,Oklahoma,Arkansas,Houston,,,,,
"LaShawn Anderson",4,"10 Schools Remaining","6'2""",CB,"188 lbs",112,Decatur,B,D,B,B,B,,D,B,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,B,B,C,,,,,FIU,"Georgia Tech",Purdue,"South Carolina",Tennessee,"Virginia Tech","Boston College","NC State",,
"Mike Joseph",4,"10 Schools Remaining","6'3""",WR,"194 lbs",113,"Belvedere Park",B,D,C,A,B,,C,B,D,D,B,D,C,C,B,C,,,,C,D,D,C,D,,,,,,,,,,,,,,,"Ohio State",Georgia,Auburn,Miami,Florida,"NC State",Tennessee,"Virginia Tech",Virginia,Purdue
"James Harper",4,"10 Schools Remaining","6'4""",DT,"282 lbs",114,"Coral Springs",D,D,D,B,D,,D,B,,,,,,,,,,,,,,,,,B,C,D,C,B,C,B,,,,,,,,Florida,"North Carolina","Penn State",Duke,Clemson,Miami,,Buffalo,"Northern Illinois",
"Aaron Underwood",4,"8 Schools Remaining","6'4""",G,"285 lbs",115,"San Mateo",D,B,D,A,D,,D,B,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,Cal,Washington,Oregon,Nevada,Maryland,Oklahoma,USC,Utah,BYU,
"Kris Quinn",4,"10 Schools Remaining","6'0""",CB,"181 lbs",116,"Mission Bend",A,D,B,B,A,,B,B,,,,,,,,,,,,,,,,,D,C,D,C,D,D,D,B,C,C,,,,,"Kansas State","Notre Dame",USC,Oklahoma,Arkansas,Nebraska,"Boise State",Navy,Arizona,BYU
"Jerome Beck",4,"10 Schools Remaining","6'4""",G,"318 lbs",117,"Fort Polk South",D,D,D,B,D,,C,C,,,,,,,,,B,B,C,,,,,,,,,,,,,,,,,,,,Indiana,LSU,"Texas Tech","Texas A&M",Tulsa,Arkansas,,,,
"Chris Hill",4,"10 Schools Remaining","6'2""",HB,"218 lbs",118,Alexandria,A,D,D,B,D,,B,B,C,C,B,C,C,C,D,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,LSU,Miami,Texas,Nebraska,,,,,,
"Michael Manson",4,"10 Schools Remaining","6'1""",ATH,"212 lbs",119,Youngstown,C,D,C,B,C,,C,C,C,D,B,C,C,C,C,C,,,,C,C,C,C,B,D,D,D,D,D,D,D,D,C,D,B,B,,,Clemson,USC,Alabama,"Notre Dame","Ohio State",Michigan,Nebraska,Wisconsin,Buffalo,Louisville
"Brock Clarke",4,"10 Schools Remaining","6'0""",WR,"185 lbs",120,Pontotoc,A,D,C,B,C,,C,C,D,D,D,D,C,D,B,D,,,,C,D,D,D,D,,,,,,,,,,,,,,,Baylor,,,,,,,,,
"Kyle Dawson",4,"10 Schools Remaining","6'3""",OLB,"228 lbs",121,Redlands,C,D,D,B,D,,B,C,,,,,,,,,,,,,,,,,B,B,C,B,B,C,C,C,D,D,,,,,Oregon,Utah,Cal,USC,Stanford,Oklahoma,BYU,Purdue,,
"Nigel Nolen",4,"10 Schools Remaining","6'0""",HB,"196 lbs",122,Claremont,A,D,C,C,B,,A,B,D,D,A,C,B,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,USC,"Arizona State",Cal,Utah,Oklahoma,LSU,Alabama,Auburn,"Notre Dame",Oregon
"DeMarcus Mullins",4,"10 Schools Remaining","6'2""",ATH,"276 lbs",123,Statesboro,D,B,D,C,C,,D,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,B,C,D,C,D,D,C,D,D,D,D,D,,,Florida,LSU,Duke,Michigan,"Florida State",Auburn,Alabama,Miami,Purdue,
"Kevin Booker",4,"10 Schools Remaining","6'5""",MLB,"241 lbs",124,"Upper St. Clair",B,C,D,B,D,,B,B,,,,,,,,,,,,,,,,,C,B,C,B,D,D,C,D,C,D,,,,,USC,Alabama,Baylor,"Arkansas State",Duke,Buffalo,Clemson,Cincinnati,Arkansas,BYU
"Jason Swain",4,"10 Schools Remaining","6'4""",OLB,"227 lbs",125,Englewood,C,C,D,C,C,,D,B,,,,,,,,,,,,,,,,,B,D,C,B,D,D,C,D,D,D,,,,,Virginia,Florida,Clemson,Alabama,"South Carolina",Georgia,"North Carolina",Duke,Cincinnati,
"Kyle Manning",4,"10 Schools Remaining","6'2""",SS,"199 lbs",126,Westminster,B,D,C,B,C,,B,B,,,,,,,,,,,,,,,,,B,C,A,D,D,D,B,D,C,C,,,,,"Arizona State",Oklahoma,"North Carolina",Cal,Ohio,Indiana,Buffalo,"Northern Illinois",,
"Joe Crawford",4,"10 Schools Remaining","6'4""",MLB,"229 lbs",127,Peoria,B,C,C,B,D,,C,B,,,,,,,,,,,,,,,,,B,D,C,D,C,C,A,D,D,C,,,,,Oregon,Clemson,Texas,Florida,Georgia,Baylor,Houston,Duke,BYU,Buffalo
"Chris Gray",4,"10 Schools Remaining","6'6""",OLB,"249 lbs",128,Goodyear,B,B,C,A,D,,B,B,,,,,,,,,,,,,,,,,D,C,A,C,D,D,C,C,B,D,,,,,USC,"Notre Dame",Oklahoma,Alabama,Georgia,Wisconsin,Auburn,Purdue,Toledo,"West Virginia"
"Randall Shaw",4,"10 Schools Remaining","6'2""",OLB,"222 lbs",129,"Port Charlotte",B,B,C,A,C,,B,A,,,,,,,,,,,,,,,,,C,B,C,D,D,D,B,D,D,C,,,,,Auburn,Florida,Texas,Alabama,USC,Michigan,"Arizona State",Duke,UCF,Cincinnati
"Josh Hansen",4,"10 Schools Remaining","6'4""",ATH,"241 lbs",130,Tallassee,B,C,B,B,A,,C,C,B,C,C,D,D,D,B,D,,,,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,D,D,,,Auburn,Florida,Miami,"Florida State",,,,,,
"Mike Peterson",4,"5 Schools Remaining","6'5""",G,"337 lbs",131,Sayreville,D,A,D,B,D,,D,C,,,,,,,,,C,B,C,,,,,,,,,,,,,,,,,,,,Rutgers,"Ohio State",Alabama,"Arizona State","Penn State",,,,,
"Joe Morris",4,"10 Schools Remaining","5'11""",SS,"171 lbs",132,Sheffield,C,D,C,B,C,,C,B,,,,,,,,,,,,,,,,,A,C,C,D,D,D,D,D,B,B,,,,,USC,Florida,UCF,Illinois,"Arkansas State","Northern Illinois",Texas,Wyoming,,
"Justin Espinosa",4,"10 Schools Remaining","6'2""",DE,"241 lbs",133,Pittsburg,C,D,D,B,D,,B,B,,,,,,,,,,,,,,,,,C,C,A,D,C,B,B,,,,,,,,USC,"Notre Dame",Alabama,Oklahoma,"Boise State",Nevada,Oregon,"Texas A&M",Stanford,"San Diego State"
"John Johnson",4,"10 Schools Remaining","6'7""",G,"297 lbs",134,"Homeland Park",C,B,D,B,D,,D,A,,,,,,,,,D,A,C,,,,,,,,,,,,,,,,,,,,Clemson,"Arizona State",Florida,"Florida State",USC,"NC State","South Carolina",Nevada,,
"Tramon Allen",4,"10 Schools Remaining","5'11""",WR,"174 lbs",135,Kingsgate,B,D,C,B,B,,B,C,D,D,D,D,D,D,B,C,,,,C,C,C,C,D,,,,,,,,,,,,,,,Wyoming,Utah,USC,Washington,,,,,,
"Greg Brady",4,"8 Schools Remaining","6'4""",CB,"178 lbs",136,"Fair Lawn",95,56,74,B,88,,89,83,,,,,,,,,,,,,,,,,66,70,D,77,49,D,D,83,88,81,,,,,"Michigan State",Maryland,Virginia,Alabama,"Penn State",,,,,
"Lamar Curtis",4,"10 Schools Remaining","5'11""",HB,"211 lbs",137,Helena,C,B,B,A,D,,C,B,C,A,D,D,C,B,D,B,D,D,D,D,D,D,C,C,,,,,,,,,,,,,,,USC,Oklahoma,Alabama,LSU,"Notre Dame",Auburn,"Arkansas State",Wisconsin,,
"Shannon Davis",4,"5 Schools Remaining","6'1""",OLB,"210 lbs",138,Leawood,C,B,C,B,C,,B,B,,,,,,,,,,,,,,,,,B,C,B,D,D,D,C,D,D,C,,,,,"Arizona State","Penn State",Florida,USC,Nebraska,"Kansas State",Toledo,,,
"John Larson",4,"10 Schools Remaining","6'0""",ATH,"178 lbs",139,"Las Vegas",B,D,C,C,C,,B,C,D,D,D,D,D,D,B,B,,,,C,D,B,B,C,D,D,D,D,D,D,D,D,D,D,C,C,,,Utah,Nevada,"Texas A&M",,,,,,,
"Chad Dean",4,"10 Schools Remaining","6'0""",WR,"172 lbs",140,Cushing,B,D,B,B,C,,B,C,D,D,D,D,D,D,A,D,,,,C,D,C,B,C,,,,,,,,,,,,,,,"Oklahoma State","Arizona State",Nebraska,Michigan,Oregon,Oklahoma,,,,
"Damarcus Dailey",4,"10 Schools Remaining","6'2""",DT,"298 lbs",141,"Country Club Est",D,C,D,C,C,,D,C,,,,,,,,,,,,,,,,,B,B,C,B,B,D,C,,,,,,,,Alabama,"South Carolina",Purdue,Georgia,"Virginia Tech",,,,,
"Preston Johnson",4,"10 Schools Remaining","6'6""",C,"296 lbs",142,"Palm Bch Gardens",D,C,D,C,D,,C,D,,,,,,,,,B,C,C,,,,,,,,,,,,,,,,,,,,Auburn,Miami,"Mississippi State",Baylor,Alabama,FIU,Buffalo,Cincinnati,Louisville,
"Jayson Jones",4,"10 Schools Remaining","6'1""",FS,"204 lbs",143,"Deer Park",B,B,D,C,C,,C,B,,,,,,,,,,,,,,,,,B,C,C,D,D,D,D,D,B,D,,,,,TCU,Texas,Nebraska,"Kansas State",Oklahoma,"Arizona State","Texas A&M","Arkansas State",Utah,Pittsburgh
"Brad Stewart",4,"10 Schools Remaining","6'3""",DT,"275 lbs",144,"West Odessa",D,C,D,B,C,,C,C,,,,,,,,,,,,,,,,,B,C,C,B,C,C,C,,,,,,,,"Arizona State",LSU,Oregon,Cal,"Kansas State",Navy,Nebraska,"Boise State",BYU,Missouri
"Gary McMahan",4,"10 Schools Remaining","6'3""",QB,"196 lbs",145,"Fort Hood",B,D,D,B,D,,B,B,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,C,B,,,Baylor,"Oklahoma State",TCU,Texas,Nebraska,,,,,
"Tom Jackson",4,"10 Schools Remaining","6'5""",TE,"242 lbs",146,Novato,C,D,D,B,B,,C,B,B,C,C,B,B,B,D,C,D,C,D,B,C,B,C,B,,,,,,,,,,,,,,,"Texas A&M",Stanford,Washington,Wisconsin,"South Carolina",USC,"Notre Dame",Utah,Wyoming,
"Lance Inman",4,"10 Schools Remaining","6'2""",ATH,"190 lbs",147,Lynwood,C,D,B,B,B,,B,B,C,C,C,C,C,C,B,C,,,,D,D,D,C,D,D,D,D,D,D,D,D,D,D,D,B,C,,,"Notre Dame",Cal,Oklahoma,Stanford,Oregon,,,,,
"Chase Graham",4,"10 Schools Remaining","6'3""",DE,"245 lbs",148,Durant,B,D,C,C,C,,C,B,,,,,,,,,,,,,,,,,C,D,B,C,C,B,B,,,,,,,,Baylor,LSU,Cal,Wisconsin,Tulsa,TCU,Oklahoma,"Kansas State",,
"Jason Hughes",4,"10 Schools Remaining","6'6""",T,"288 lbs",149,Lancaster,D,C,D,B,D,,D,A,,,,,,,,,B,B,C,,,,,,,,,,,,,,,,,,,,UCLA,Hawai'i,Nevada,Oklahoma,"Boston College","Notre Dame","Oklahoma State","Fresno State",BYU,
"William Weiss",4,"10 Schools Remaining","6'2""",QB,"191 lbs",150,Bedford,81,D,82,80,75,,B,85,75,D,D,72,49,D,56,45,,,,,,,,,,,,,,,,,,,B,70,,,Nebraska,Wisconsin,,,,,,,,
"Anthony Green",4,"10 Schools Remaining","6'3""",WR,"216 lbs",151,Gonzales,A,D,C,B,D,,C,B,D,D,D,D,D,D,A,D,,,,C,D,D,C,D,,,,,,,,,,,,,,,LSU,Texas,Baylor,,,,,,,
"Tyler Johnson",4,"10 Schools Remaining","5'10""",HB,"180 lbs",152,Socastee,B,D,A,A,B,,B,B,D,D,A,C,A,A,D,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Georgia,Alabama,"Notre Dame",Oklahoma,Wisconsin,LSU,USC,Clemson,"Boston College","NC State"
"Mike May",4,"10 Schools Remaining","6'5""",G,"318 lbs",153,Leland,D,B,D,B,D,,D,A,,,,,,,,,B,C,D,,,,,,,,,,,,,,,,,,,,Virginia,"Southern Miss",,,,,,,,
"Travis Novak",4,"10 Schools Remaining","5'11""",SS,"192 lbs",154,Novato,B,D,C,B,B,,C,B,,,,,,,,,,,,,,,,,B,D,C,D,D,D,D,C,C,B,,,,,USC,"Arizona State",Michigan,Cal,LSU,Wyoming,Oklahoma,,,
"Craig Johnson",4,"10 Schools Remaining","6'1""",C,"284 lbs",155,"Santa Clarita",D,C,D,B,D,,D,C,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,Cal,Oregon,Florida,Hawai'i,"Georgia Tech","Mississippi State","Kansas State",Arizona,"Fresno State",BYU
"James Riley",4,"10 Schools Remaining","6'1""",ATH,"297 lbs",156,Lorain,D,C,D,B,D,,C,C,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,C,C,D,D,B,D,D,D,D,D,D,D,,,Michigan,Northwestern,Toledo,Indiana,Wisconsin,Pittsburgh,Nebraska,,,
"Ernest O'Connor",4,"Soft Commit","6'2""",ATH,"199 lbs",157,Claiborne,C,D,B,B,A,,B,B,D,D,D,D,D,D,D,D,,,,D,D,D,D,D,D,D,B,B,D,D,D,C,B,B,D,D,,,Alabama,"Arizona State","Florida State",,,,,,,
"Corey Edwards",4,"10 Schools Remaining","6'1""",HB,"196 lbs",158,Thibodaux,B,D,C,C,C,,B,C,B,D,B,D,C,B,C,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Baylor,"Virginia Tech",Wisconsin,Virginia,,,,,,
"James Kramer",4,"10 Schools Remaining","6'6""",T,"303 lbs",159,Watsonville,D,B,D,B,D,,C,B,,,,,,,,,C,B,B,,,,,,,,,,,,,,,,,,,,Cal,Nevada,"Ohio State",Oklahoma,Stanford,"Notre Dame","South Carolina",BYU,"San Diego State",
"Tom Walker",4,"10 Schools Remaining","6'4""",DE,"245 lbs",160,Rotterdam,C,B,D,C,D,,C,C,,,,,,,,,,,,,,,,,B,B,B,D,C,D,B,,,,,,,,Pittsburgh,"Michigan State","Boston College","Virginia Tech",,,,,,
"Matt Smith",4,"5 Schools Remaining","6'5""",TE,"260 lbs",161,"East Orange",C,B,C,C,B,,B,B,C,D,D,D,D,D,D,D,C,C,D,C,D,C,D,C,,,,,,,,,,,,,,,Rutgers,Virginia,"Arizona State","Michigan State",Wyoming,,,,,
"Travis Thomas",4,"10 Schools Remaining","6'0""",DE,"245 lbs",162,Chinle,C,C,D,B,C,,C,B,,,,,,,,,,,,,,,,,C,C,B,C,B,B,B,,,,,,,,Stanford,Nevada,Utah,USC,,,,,,
"Jesse Smith",4,"10 Schools Remaining","6'4""",G,"311 lbs",163,Enterprise,C,A,B,A,D,,D,B,,,,,,,,,C,C,C,,,,,,,,,,,,,,,,,,,,Alabama,USC,Oklahoma,Georgia,"Notre Dame",,,,,
"Gary Paris",4,"10 Schools Remaining","6'7""",DE,"264 lbs",164,Belton,C,B,D,B,B,,C,B,,,,,,,,,,,,,,,,,C,C,C,C,C,C,C,,,,,,,,"Notre Dame",USC,Alabama,"Virginia Tech","Ohio State",Oklahoma,Texas,UCF,"NC State",
"Ramon McCoy",4,"10 Schools Remaining","6'0""",HB,"200 lbs",165,Lauderhill,A,C,B,A,C,,A,B,D,D,C,C,B,B,D,D,D,D,D,D,C,D,D,B,,,,,,,,,,,,,,,Florida,LSU,Miami,Georgia,Auburn,Arkansas,USC,Purdue,Tennessee,"West Virginia"
"A.J. Mack",4,"Soft Commit","5'10""",WR,"185 lbs",166,Minneapolis,A,D,C,B,C,,C,B,D,D,D,D,D,D,B,C,,,,D,C,D,C,C,,,,,,,,,,,,,,,Iowa,Maryland,,,,,,,,
"Chris Mosley",4,"10 Schools Remaining","6'2""",ATH,"189 lbs",167,Charlotte,A,D,B,A,C,,C,B,D,D,C,D,C,D,D,D,,,,C,D,D,D,D,D,D,D,C,D,D,D,C,B,C,B,D,,,Virginia,Duke,"North Carolina","NC State",,,,,,
"Cliff Rogers",4,"Soft Commit","5'11""",HB,"200 lbs",168,Somerset,C,B,C,C,C,,B,B,C,C,C,B,B,C,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,"Boston College",Tennessee,Rutgers,"Penn State",,,,,,
"Justin Johnson",4,"10 Schools Remaining","6'4""",HB,"197 lbs",169,Manitowoc,B,D,C,B,C,,C,C,D,D,C,D,C,C,C,C,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Iowa,"Michigan State",Illinois,"Virginia Tech",Wisconsin,,,,,
"Brandon Gates",4,"10 Schools Remaining","6'0""",ATH,"204 lbs",170,"Newport News",B,D,B,B,C,,B,A,C,D,B,B,D,C,D,D,,,,D,B,D,B,B,D,D,D,D,D,D,D,D,D,D,D,D,,,USC,Alabama,Auburn,"Notre Dame",Oklahoma,Georgia,LSU,,,
"Travis Kane",4,"5 Schools Remaining","6'0""",HB,"236 lbs",171,"East Hartford",B,D,B,C,C,,B,B,C,B,B,A,B,C,C,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,Syracuse,Rutgers,"South Carolina","Penn State",,,,,,
"William Dodd",4,"10 Schools Remaining","5'11""",CB,"181 lbs",172,Greenbelt,A,D,B,B,B,,C,B,,,,,,,,,,,,,,,,,D,C,D,B,D,D,D,C,B,C,,,,,"Notre Dame",Alabama,"Virginia Tech",Navy,"West Virginia","Penn State",Virginia,,,
"Brett Johnson",4,"10 Schools Remaining","6'0""",WR,"192 lbs",173,Lapeer,C,D,C,A,B,,B,B,D,D,D,D,D,D,A,C,,,,C,D,D,C,C,,,,,,,,,,,,,,,"Michigan State",Illinois,Michigan,,,,,,,
"Joseph Bower",4,"Soft Commit","6'1""",HB,"202 lbs",174,Talleyville,B,D,B,B,C,,B,C,D,D,C,D,D,B,D,D,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,Virginia,Rutgers,"Virginia Tech",,,,,,,
"Aaron Parker",4,"10 Schools Remaining","6'2""",WR,"204 lbs",175,Covington,A,D,D,C,B,,B,C,D,D,D,D,D,D,A,D,,,,D,B,D,B,C,,,,,,,,,,,,,,,"Southern Miss",Tennessee,"Virginia Tech",Purdue,,,,,,
"Ben Moore",4,"10 Schools Remaining","6'2""",WR,"205 lbs",176,Athens,A,D,B,B,C,,B,C,D,D,D,D,D,C,B,D,,,,C,D,D,D,D,,,,,,,,,,,,,,,Georgia,Tennessee,"Virginia Tech",Purdue,Virginia,,,,,
"Kyle Perez",4,"10 Schools Remaining","6'0""",ATH,"188 lbs",177,Belton,B,D,B,C,C,,B,C,D,D,D,D,D,D,B,C,,,,C,C,D,C,D,C,B,B,D,D,D,D,C,C,D,C,B,,,Oregon,Tulsa,Baylor,Navy,Nebraska,Utah,Wyoming,,,
"Cameron Woods",4,"10 Schools Remaining","6'1""",HB,"196 lbs",178,"Del Rio",B,D,A,A,B,,C,C,C,C,B,D,C,B,D,C,D,D,D,D,D,D,D,C,,,,,,,,,,,,,,,Texas,Cal,Houston,"Kansas State",Utah,Nebraska,Pittsburgh,,,
"Chase Hill",4,"10 Schools Remaining","6'3""",WR,"195 lbs",179,Athens,B,D,B,B,C,,C,C,D,D,D,D,D,D,B,D,,,,C,D,D,D,D,,,,,,,,,,,,,,,SMU,"Texas Tech",Utah,,,,,,,
"Gerard Scott",4,"10 Schools Remaining","6'0""",WR,"193 lbs",180,Keller,B,D,C,C,B,,B,B,D,D,D,D,D,D,A,D,,,,C,D,D,C,C,,,,,,,,,,,,,,,Utah,,,,,,,,,
